Date,S&P 500,NASDAQ,TSLA,MSFT,NVDA,AMZN,GOOGL,META,V,AAPL
2024-03-12,5175.27001953125,16265.6396484375,177.5399932861328,415.2799987792969,91.91300201416016,175.38999938964844,138.5,499.75,283.9200134277344,173.22999572753906
2024-03-13,5165.31005859375,16177.76953125,169.47999572753906,415.1000061035156,90.88800048828125,176.55999755859375,139.7899932861328,495.57000732421875,285.1400146484375,171.1300048828125
2024-03-14,5150.47998046875,16128.5302734375,162.5,425.2200012207031,87.94400024414062,178.75,143.10000610351562,491.8299865722656,286.4100036621094,173.0
2024-03-15,5117.08984375,15973.169921875,163.57000732421875,416.4200134277344,87.83699798583984,174.4199981689453,141.17999267578125,484.1000061035156,283.0400085449219,172.6199951171875
2024-03-18,5149.419921875,16103.4501953125,173.8000030517578,417.32000732421875,88.45500183105469,174.47999572753906,147.67999267578125,496.9800109863281,285.04998779296875,173.72000122070312
2024-03-19,5178.509765625,16166.7900390625,171.32000732421875,421.4100036621094,89.39800262451172,175.89999389648438,147.02999877929688,496.239990234375,287.3500061035156,176.0800018310547
2024-03-20,5224.6201171875,16369.41015625,175.66000366210938,425.2300109863281,90.37200164794922,178.14999389648438,148.74000549316406,505.5199890136719,289.2799987792969,178.6699981689453
2024-03-21,5241.52978515625,16401.83984375,172.82000732421875,429.3699951171875,91.43499755859375,178.14999389648438,147.60000610351562,507.760009765625,290.3699951171875,171.3699951171875
2024-03-22,5234.18017578125,16428.8203125,170.8300018310547,428.739990234375,94.28900146484375,178.8699951171875,150.77000427246094,509.5799865722656,283.260009765625,172.27999877929688
2024-03-25,5218.18994140625,16384.470703125,172.6300048828125,422.8599853515625,95.00199890136719,179.7100067138672,150.07000732421875,503.0199890136719,281.2099914550781,170.85000610351562
2024-03-26,5203.580078125,16315.7001953125,177.6699981689453,421.6499938964844,92.56099700927734,178.3000030517578,150.6699981689453,495.8900146484375,280.6000061035156,169.7100067138672
